cluster,nome_cluster,termos_relevantes
0,Perfil profissional misto,"nursing, nurse, care, patient, rn, registered, registered nurse, patients, patient care, health, clinical, healthcare"
1,Data / BI / Analytics,"ability, safety, equipment, work, duties, skills, management, customer, required, service, experience, procedures"
2,Data / BI / Analytics,"project, engineering, design, experience, management, skills, data, technical, projects, business, systems, development"
3,Marketing / Conteúdo / Vendas,"sales, customer, service, customer service, store, customers, team, work, management, skills, retail, company"
4,Perfil profissional misto,"et, les, des, le, la, en, pour, une, du, dans, nous, vous"
5,Educação / Treinamento,"care, health, work, experience, medical, time, team, job, benefits, services, community, education"
6,Perfil profissional misto,"doccafe, assistant job, physician physician, physician, physician assistant, 000 yearly, search, yearly, profile, alerts, job search, credentials"
7,Design / UX / UI,"travel, allied, hours week, allied health, technologist, health professional, 13 weeks, week, stipend, hours, seeking travel, requirements specialty"
8,Produto / Projeto / Gestão,"dollar general, merchandise, dollar, store, store manager, cash register, cash, register, knowledge cash, general corporation, shoppers, lead sales"
